cisco-fna, 130/tcp, FNATIVE
cisco-fna, 130/udp, FNATIVE
cisco-tna, 131/tcp, TNATIVE
cisco-tna, 131/udp, TNATIVE
cisco-sys, 132/tcp, SYSMAINT
cisco-sys, 132/udp, SYSMAINT
statsrv, 133/tcp, Service
statsrv, 133/udp, Service
ingres-net, 134/tcp, Service
ingres-net, 134/udp, Service
epmap, 135/tcp, resolution
epmap, 135/udp, resolution
profile, 136/tcp, System
profile, 136/udp, System
emfis-data, 140/tcp, Service
emfis-data, 140/udp, Service
emfis-cntl, 141/tcp, Service
emfis-cntl, 141/udp, Service
bl-idm, 142/tcp, IDM
bl-idm, 142/udp, IDM
uaac, 145/tcp, Protocol
uaac, 145/udp, Protocol
iso-tp0, 146/tcp, ISO-IP0
iso-tp0, 146/udp, ISO-IP0
iso-ip, 147/tcp, ISO-IP
iso-ip, 147/udp, ISO-IP
jargon, 148/tcp, Jargon
jargon, 148/udp, Jargon
aed-512, 149/tcp, Service
aed-512, 149/udp, Service
sql-net, 150/tcp, SQL-NET
sql-net, 150/udp, SQL-NET
hems, 151/tcp, HEMS
hems, 151/udp, HEMS
bftp, 152/tcp, Program
bftp, 152/udp, Program
sgmp, 153/tcp, SGMP
sgmp, 153/udp, SGMP
netsc-prod, 154/tcp, NETSC
netsc-prod, 154/udp, NETSC
netsc-dev, 155/tcp, NETSC
netsc-dev, 155/udp, NETSC
sqlsrv, 156/tcp, Service
sqlsrv, 156/udp, Service
knet-cmp, 157/tcp, Protocol
knet-cmp, 157/udp, Protocol
pcmail-srv, 158/tcp, Server
pcmail-srv, 158/udp, Server
nss-routing, 159/tcp, NSS-Routing
nss-routing, 159/udp, NSS-Routing
sgmp-traps, 160/tcp, SGMP-TRAPS
sgmp-traps, 160/udp, SGMP-TRAPS
xns-courier, 165/tcp, Xerox
xns-courier, 165/udp, Xerox
s-net, 166/tcp, Systems
s-net, 166/udp, Systems
namp, 167/tcp, NAMP
namp, 167/udp, NAMP
rsvd, 168/tcp, RSVD
rsvd, 168/udp, RSVD
send, 169/tcp, SEND
send, 169/udp, SEND
print-srv, 170/tcp, PostScript
print-srv, 170/udp, PostScript
multiplex, 171/tcp, Multiplex
multiplex, 171/udp, Multiplex
cl/1, 172/tcp, CL/1
cl/1, 172/udp, CL/1
xyplex-mux, 173/tcp, Xyplex
xyplex-mux, 173/udp, Xyplex
vmnet, 175/tcp, VMNET
vmnet, 175/udp, VMNET
genrad-mux, 176/tcp, GENRAD-MUX
genrad-mux, 176/udp, GENRAD-MUX
ris, 180/tcp, Intergraph
ris, 180/udp, Intergraph
unify, 181/tcp, Unify
unify, 181/udp, Unify
audit, 182/tcp, SITP
audit, 182/udp, SITP
ocbinder, 183/tcp, OCBinder
ocbinder, 183/udp, OCBinder
ocserver, 184/tcp, OCServer
ocserver, 184/udp, OCServer
remote-kis, 185/tcp, Remote-KIS
remote-kis, 185/udp, Remote-KIS
kis, 186/tcp, Protocol
kis, 186/udp, Protocol
aci, 187/tcp, Interface
aci, 187/udp, Interface
mumps, 188/tcp, MUMPS
mumps, 188/udp, MUMPS
qft, 189/tcp, Transport
qft, 189/udp, Transport
gacp, 190/tcp, Protocol
gacp, 190/udp, Protocol
osu-nms, 192/tcp, System
osu-nms, 192/udp, System
srmp, 193/tcp, Protocol
srmp, 193/udp, Protocol
dn6-nlm-aud, 195/tcp, Audit
dn6-nlm-aud, 195/udp, Audit
dn6-smm-red, 196/tcp, Redir
dn6-smm-red, 196/udp, Redir
dls-mon, 198/tcp, Monitor
dls-mon, 198/udp, Monitor
src, 200/tcp, Controller
src, 200/udp, Controller
at-3, 203/tcp, Unused
at-3, 203/udp, Unused
at-5, 205/tcp, Unused
at-5, 205/udp, Unused
at-7, 207/tcp, Unused
at-7, 207/udp, Unused
at-8, 208/tcp, Unused
at-8, 208/udp, Unused
914c/g, 211/tcp, Terminal
914c/g, 211/udp, Terminal
anet, 212/tcp, ATEXSSTR
anet, 212/udp, ATEXSSTR
vmpwscs, 214/tcp, PWSCS
vmpwscs, 214/udp, PWSCS
softpc, 215/tcp, Solutions
softpc, 215/udp, Solutions
CAIlic, 216/tcp, Server
CAIlic, 216/udp, Server
dbase, 217/tcp, Unix
dbase, 217/udp, Unix
mpp, 218/tcp, Protocol
mpp, 218/udp, Protocol
uarps, 219/tcp, ARPs
uarps, 219/udp, ARPs
fln-spx, 221/tcp, auth
fln-spx, 221/udp, auth
rsh-spx, 222/tcp, auth
rsh-spx, 222/udp, auth
cdc, 223/tcp, Center
cdc, 223/udp, Center
masqdialer, 224/tcp, masqdialer
masqdialer, 224/udp, masqdialer
direct, 242/tcp, Direct
direct, 242/udp, Direct
sur-meas, 243/tcp, Measurement
sur-meas, 243/udp, Measurement
inbusiness, 244/tcp, inbusiness
inbusiness, 244/udp, inbusiness
dsp3270, 246/tcp, Protocol
dsp3270, 246/udp, Protocol
subntbcst_tftp, 247/tcp, SUBNTBCST_TFTP
subntbcst_tftp, 247/udp, SUBNTBCST_TFTP
bhfhs, 248/tcp, bhfhs
bhfhs, 248/udp, bhfhs
set, 257/tcp, Transaction
set, 257/udp, Transaction
esro-gen, 259/tcp, Operations
esro-gen, 259/udp, Operations
openport, 260/tcp, Openport
openport, 260/udp, Openport
nsiiops, 261/tcp, TLS/SSL
nsiiops, 261/udp, TLS/SSL
arcisdms, 262/tcp, Arcisdms
arcisdms, 262/udp, Arcisdms
